year,indicator_name,estimate,ci_lower,ci_upper,stderr
2015.0,Total Abundance,52453.0,51153.7,53831.125,679.7751269471398
2016.0,Total Abundance,69062.0,67750.95,70442.275,684.0462672626758
2017.0,Total Abundance,61685.380952380954,60398.905952380956,63214.5761904762,688.7245136212782
2018.0,Total Abundance,61208.0,59626.725,62869.025,842.9259058630244
2019.0,Total Abundance,63217.0,61843.825,64694.075,744.4032401863925
2020.0,Total Abundance,66171.0,64564.75,67879.25,856.9741970444618
2021.0,Total Abundance,72048.0,70249.825,74034.725,998.5399210347075
2022.0,Total Abundance,73549.0,71660.8,75554.625,941.076171080216
2023.0,Total Abundance,67057.0,65604.625,68626.225,783.8653892091422
2024.0,Total Abundance,65395.0,64039.2,66876.425,750.2622297063874
2015.0,Mean Abundance per Point,98.9679245283019,96.52966981132076,101.70566037735848,1.3126044494809763
2016.0,Mean Abundance per Point,117.0542372881356,114.84741525423729,119.32745762711865,1.1380013766875172
2017.0,Mean Abundance per Point,102.80896825396826,100.5999246031746,105.1709722222222,1.1607733786995347
2018.0,Mean Abundance per Point,95.48829953198128,93.06852574102963,98.38771450858034,1.3334460550298401
2019.0,Mean Abundance per Point,99.24175824175825,97.06373626373626,101.6770287832114,1.2192700494881121
2020.0,Mean Abundance per Point,105.03333333333333,102.35542462845011,107.99721484089132,1.4244319375390222
2021.0,Mean Abundance per Point,114.72611464968153,111.72906050955413,117.90179140127388,1.588940951890992
2022.0,Mean Abundance per Point,116.74444444444444,114.05853174603175,119.73996031746032,1.4075673228703303
2023.0,Mean Abundance per Point,104.94053208137716,102.79162754303599,107.37933462846041,1.171444403108121
2024.0,Mean Abundance per Point,100.76271186440678,98.77303543913715,103.22508589900892,1.1486813665210087
